"col","resource","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52"
"blue","offshore_wind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue3","onshore_wind",1175.80638416865,1137.66016477798,1109.17619804503,1240.44664263045,1257.10822684181,1182.1658035927,1204.06711625027,1101.53294567815,1186.72816415672,1082.14070293029,1055.30553331372,995.41723352612,1128.76395413842,1249.70937282453,1062.12616648174,1279.20885770958,1277.28063352242,1306.16022610791,1311.31711018266,1571.02534125878,2022.43318809822,1823.63772981413,1855.25261386402,2428.97669184662,2080.53705037909,2242.37053802195,2744.20285687254,2796.58568849725,2758.24521270956,2673.14000410084,2828.94108578716,2745.52101937424,2277.26417163929,2037.30427559977,1646.62219881813,1647.15387530045,1824.64542423608,1573.85557130611,1122.66517947458,935.790825000181,761.048702186993,687.130854286971,793.802269054339,874.519613908453,919.724276631718,1190.91451742064,1093.46515682391,1383.80699081518,1327.00633364907,1298.27479059857,1426.9873747852,1308.2187843941
"green","NG_OCGT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green4","NG_CCGT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"grey","coal",73986.2556288507,73802.0118528447,73737.9875341103,73379.0344209316,72020.2758077467,71755.4912889405,71490.2251486876,71766.0073328918,71981.8887572445,73155.9353750423,73414.4803462413,73457.9227780285,73044.7063322204,63992.6728935855,64486.6881665934,64023.0309128967,63947.9963595674,63278.2714875483,63013.8584332851,62481.1222323253,61109.8208252235,61757.3002418336,62527.5191887177,61177.9199529642,62365.7993286363,62009.1580942864,49081.8352731701,47281.0486721671,47434.4416519177,47468.3535471531,46764.1767055359,47115.4437291239,48217.390754514,48661.5474198664,50538.7616025367,53970.9842421841,53551.5126813654,54234.701074194,55325.9427111232,59952.64321506,61665.4357821834,61918.1812287701,61463.777754223,64864.5114133653,69914.0199518604,69295.6184118584,69459.2263732718,68403.1514012435,67619.4373152375,67718.8124088172,67026.187181926,67467.0911263129
"orange1","solar_RT",287.830421282392,309.86443125332,314.696244154791,317.576843170956,342.83687671073,349.396701950082,355.827959360754,359.974889568877,355.629434825809,365.803724251821,354.421709514764,363.60252931426,364.330230539829,361.307320796515,357.181515849574,353.329894352218,357.373052728273,343.338475363292,335.983605442324,326.726907391986,333.131777656838,321.179484374795,308.922899487414,293.349230306962,275.973264266314,269.394262355601,264.490383428694,263.981303881611,263.352678346013,264.0811846684,268.035779572488,267.882763084226,275.965200383419,285.698220695688,290.831033110821,299.606389495183,291.158191577246,289.94452754759,299.643110113034,320.865354573364,320.583148982211,319.133284399561,325.248716216838,316.497026506992,312.320988148726,308.506143782456,309.967468003918,299.130054406292,295.20279153858,296.129423222527,314.117588287394,307.535651829048
"orange3","solar_GM",1528.3560592188,1612.20757050289,1659.39212268229,1657.20666730275,1771.92816540312,1814.98883656045,1884.16872059373,1881.19150156075,1865.07280116086,1909.86855970779,1853.03141056432,1887.79064067991,1905.64870026995,1881.04872809045,1866.26160057457,1823.52053765088,1848.97445937075,1781.38371571139,1729.04076251829,1674.46159443617,1720.80375066294,1667.03521496974,1604.38757379638,1542.44561136235,1471.51940147148,1447.3837620637,1414.14578328838,1381.8639394649,1364.43071485545,1436.34358947843,1437.27481009252,1417.78930834303,1472.8361359148,1539.77011996839,1550.62414843732,1593.17277973474,1578.34691431218,1579.17822802599,1619.47825900927,1713.19554823049,1692.73667868912,1675.1579178486,1729.45151761658,1641.74937782328,1634.59841379031,1594.57793114438,1630.41368416446,1552.1499498607,1560.32978078206,1551.61295124954,1659.54834353402,1622.79738173884
"purple2","hydroelectric_small",178.164,178.164,178.164,178.164,167.054,161.196,161.196,161.196,169.074,186.648,186.648,186.648,186.648,252.096,254.52,254.52,254.52,307.04,339.36,339.36,339.36,350.975,381.78,381.78,381.78,381.78,460.56,466.62,466.62,466.62,491.365,509.04,509.04,509.04,488.84,424.2,424.2,424.2,424.2,348.45,339.36,339.36,339.36,269.67,212.1,212.1,212.1,203.515,169.68,169.68,169.68,169.68
"purple4","hydroelectric",1645.812,1645.812,1645.812,1645.812,1543.182,1489.068,1489.068,1489.068,1561.842,1724.184,1724.184,1724.184,1724.184,2328.768,2351.16,2351.16,2351.16,2836.32,3134.88,3134.88,3134.88,3242.175,3526.74,3526.74,3526.74,3526.74,4254.48,4310.46,4310.46,4310.46,4539.045,4702.32,4702.32,4702.32,4515.72,3918.6,3918.6,3918.6,3918.6,3218.85,3134.88,3134.88,3134.88,2491.11,1959.3,1959.3,1959.3,1879.995,1567.44,1567.44,1567.44,1567.44
"red4","biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow1","nuclear_SMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow3","nuclear_PHWR",3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185,3017.8650488185
